timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2018-12-30T00:00:00.000Z";"2018-12-30T23:59:59.999Z";"2018-12-30T00:17:06.000Z";"2018-12-30T19:47:04.000Z";1.0305140398;1.0352728735;1.0163929516;1.0190858705;3762583033.15;1893629500.49846;"2018-12-30T23:59:59.999Z"
"2018-12-29T00:00:00.000Z";"2018-12-29T23:59:59.999Z";"2018-12-29T23:48:00.000Z";"2018-12-29T21:19:02.000Z";1.0239528243;1.0486951489;1.0156174487;1.0314726081;4372940348.22;1916646100.40582;"2018-12-29T23:59:59.999Z"
"2018-12-28T00:00:00.000Z";"2018-12-28T23:59:59.999Z";"2018-12-28T22:34:02.000Z";"2018-12-28T15:39:03.000Z";1.0225739778;1.0321456772;0.9970924764;1.0231604439;4639997631.21;1901200729.37757;"2018-12-28T23:59:59.999Z"
"2018-12-27T00:00:00.000Z";"2018-12-27T23:59:59.999Z";"2018-12-27T19:09:02.000Z";"2018-12-27T11:58:01.000Z";1.023169462;1.0434922997;1.0158001566;1.024173907;3977540744.41;1901298702.01406;"2018-12-27T23:59:59.999Z"
"2018-12-26T00:00:00.000Z";"2018-12-26T23:59:59.999Z";"2018-12-26T14:44:07.000Z";"2018-12-26T19:08:02.000Z";1.0219434656;1.0323295002;1.0117072317;1.0195496922;4461185015.67;1892714209.14914;"2018-12-26T23:59:59.999Z"
"2018-12-25T00:00:00.000Z";"2018-12-25T23:59:59.999Z";"2018-12-25T00:23:04.000Z";"2018-12-25T09:55:02.000Z";1.017005646;1.0328852367;1.0089051502;1.019049879;5493940636.93;1891786345.07948;"2018-12-25T23:59:59.999Z"
"2018-12-24T00:00:00.000Z";"2018-12-24T23:59:59.999Z";"2018-12-24T16:02:05.000Z";"2018-12-24T00:48:06.000Z";1.0160578383;1.0306911153;1.004486087;1.0157767644;6912098933.11;1885710063.90003;"2018-12-24T23:59:59.999Z"
"2018-12-23T00:00:00.000Z";"2018-12-23T23:59:59.999Z";"2018-12-23T15:04:02.000Z";"2018-12-23T00:58:02.000Z";1.0153610485;1.0263759915;1.0123148854;1.0159549508;5243877297.52;1886040853.0988;"2018-12-23T23:59:59.999Z"
"2018-12-22T00:00:00.000Z";"2018-12-22T23:59:59.999Z";"2018-12-22T16:11:03.000Z";"2018-12-22T16:38:04.000Z";1.0115603568;1.0211696268;1.0087496462;1.0208057406;4244056323.13;1895045964.64421;"2018-12-22T23:59:59.999Z"
"2018-12-21T00:00:00.000Z";"2018-12-21T23:59:59.999Z";"2018-12-21T02:11:03.000Z";"2018-12-21T21:43:01.000Z";1.0231340228;1.0283776515;1.0080385078;1.0155063786;5957952407.51;1885208113.95385;"2018-12-21T23:59:59.999Z"
"2018-12-20T00:00:00.000Z";"2018-12-20T23:59:59.999Z";"2018-12-20T20:11:02.000Z";"2018-12-20T08:22:04.000Z";1.0240241042;1.0350002634;1.0123097558;1.0194172045;6967777735.03;1892468256.0846;"2018-12-20T23:59:59.999Z"
